group,category,publisher,year,type,is_llm_related,title,link,authors,code,zh_abstract
Assessment & Feedback,Knowledge Tracing,arXiv,2025,preprint,1,Problems With Large Language Models for Learner Modelling: Why LLMs Alone Fall Short for Responsible Tutoring in K--12 Education,https://arxiv.org/abs/2512.23036,"Danial Hooshyar, Yeongwook Yang, Gustav Sir, Tommi Karkkainen, Raija Hamalainen, Mutlu Cukurova, Roger Azevedo",,"该研究比较了LLM与深度知识追踪模型在K-12学习者建模中的表现，发现LLM在时序一致性与早期预测稳定性上明显不足。作者建议采用融合显式学习者模型的混合框架，而非仅依赖LLM。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,An Experience Report on a Pedagogically Controlled Curriculum-Constrained AI Tutor for SE Education,https://arxiv.org/abs/2512.11882,"Lucia Happe, Dominik Fuchs, Luca Huttner, Kai Marquardt, Anne Koziolek",,"论文报告了面向中学编程课程的AI导师实践，通过课程约束和知识库结构化控制输出。初步结果显示可提升提问与引导体验，但样本规模和长期效果仍需进一步验证。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,IntelliCode: A Multi-Agent LLM Tutoring System with Centralized Learner Modeling,https://arxiv.org/abs/2512.18669,"Jones David, Shreya Ghosh",,"IntelliCode提出集中式可版本化学习者状态，并由多智能体协同执行评估、提示、复习和参与度监测。该设计强调可审计、可解释和长期个性化辅导能力。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,AI tutoring can safely and effectively support students: An exploratory RCT in UK classrooms,https://arxiv.org/abs/2512.23633,"LearnLM Team, Eedi",,"在英国中学的探索性随机对照试验中，经过教学微调与教师监管的AI辅导在学习结果上不弱于人工导师。研究也显示AI在苏格拉底式追问上的潜力，但仍依赖教师监督机制。"
Assessment & Feedback,Automated Grading,arXiv,2025,preprint,1,How well do Large Language Models Recognize Instructional Moves? Establishing Baselines for Foundation Models in Educational Discourse,https://arxiv.org/abs/2512.19903,"Kirk Vanacore, Rene F. Kizilcec",,"该文评估基础模型在真实课堂话语中识别教学行为的能力。结果表明少样本提示能提升表现，但不同教学行为之间仍存在明显识别差异和误报问题。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,AgentTutor: Empowering Personalized Learning with Multi-Turn Interactive Teaching in Intelligent Education Systems,https://arxiv.org/abs/2601.04219,"Yuxin Liu, Zeqing Song, Jiong Lou, Chentao Wu, Jie Li",,"AgentTutor面向多轮教学交互，结合学习者画像与多智能体模块实现动态教学策略调整。实验显示在教学质量和持续对话有效性上优于静态单轮问答方案。"
Assessment & Feedback,Automated Grading,arXiv,2025,preprint,1,Large Language Models Approach Expert Pedagogical Quality in Math Tutoring but Differ in Instructional and Linguistic Profiles,https://arxiv.org/abs/2512.20780,"Ramatu Oiza Abdulsalam, Segun Aroyehun",,"研究比较人类导师与LLM在数学补救教学中的逐轮反馈，发现LLM在总体教学质量上接近专家。与此同时，其在复述、追问和语言风格上与专家仍存在系统性差异。"
Assessment & Feedback,Knowledge Tracing,arXiv,2025,preprint,1,PICKT: Practical Interlinked Concept Knowledge Tracing for Personalized Learning using Knowledge Map Concept Relations,https://arxiv.org/abs/2512.07179,"Wonbeen Lee, Channyoung Lee, Junho Sohn, Hansam Cho",,"PICKT通过知识图谱关系融合多源输入以增强知识追踪，重点解决新生和新题冷启动问题。实验表明该方法在真实教学场景下具备更高稳定性与实用性。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,Developing a General Personal Tutor for Education,https://arxiv.org/abs/2512.04869,"Jaan Aru, Kristjan-Julius Laak",,"论文从国家级教育应用视角讨论通用AI导师的设计难题，指出仅靠通用LLM难以满足长期学习目标与可验证教学质量要求。作者强调需补齐学习科学与系统工程之间的空白。"
Tutoring Strategy,Tutoring System,arXiv,2025,preprint,1,LeafTutor: An AI Agent for Programming Assignment Tutoring,https://arxiv.org/abs/2601.02375,"Madison Bochard, Tim Conser, Alyssa Duran, Lazaro Martull, Pu Tian, Yalong Wu",,"LeafTutor定位于编程作业辅导，提供逐步引导而非一次性答案。实证结果显示其在可扩展性与个性化支持方面具有替代部分助教支持的潜力。"
