group,category,publisher,year,type,is_llm_related,title,link,authors,code,zh_abstract
Dataset & Benchmark,Benchmark,arXiv,2025,preprint,1,Benchmarking Educational LLMs with Analytics: A Case Study on Gender Bias in Feedback,https://arxiv.org/abs/2511.08225,"Yishan Du, Conrad Borchers, Mutlu Cukurova",,"研究基于反事实样本分析教育反馈中的性别偏差，发现多种模型对性别线索存在不对称语义响应。论文给出了教育场景下偏差审计和部署规范的实践建议。"
Assessment & Feedback,Automated Grading,arXiv,2025,preprint,1,Scaling Equitable Reflection Assessment in Education via Large Language Models and Role-Based Feedback Agents,https://arxiv.org/abs/2511.11772,"Chenyu Zhang, Xiaohang Luo",,"该系统通过五类角色化LLM代理协同完成反思作业评分与反馈，强调公平性监控与元认知引导。实证结果显示其在大规模场景下可提供接近专家一致性的高质量反馈。"
Learning Experience,Learning Engagement,arXiv,2025,preprint,1,LOOM: Personalized Learning Informed by Daily LLM Conversations Toward Long-Term Mastery via a Dynamic Learner Memory Graph,https://arxiv.org/abs/2511.21037,"Justin Cui, Kevin Pu, Tovi Grossman",,"LOOM利用日常对话构建动态学习者记忆图谱，在“即时需求”与“长期目标”之间做个性化课程编排。用户研究显示其有助于发现知识缺口并维持持续学习轨迹。"
Specific Scenario,Computer Science,arXiv,2025,preprint,1,Examining the Usage of Generative AI Models in Student Learning Activities for Software Programming,https://arxiv.org/abs/2511.13271,"Rufeng Chen, Shuaishuai Jiang, Jiyun Shen, AJung Moon, Lili Wei",,"受控实验发现，GenAI可显著提升编程任务完成率，尤其对初学者更明显，但不必然带来知识增益。作者指出教学中需引导学生将AI用于学习过程而非仅用于解题替代。"
Specific Scenario,Computer Science,arXiv,2025,preprint,1,Scaffolding Metacognition in Programming Education: Understanding Student-AI Interactions and Design Implications,https://arxiv.org/abs/2511.04144,"Boxuan Ma, Huiyong Li, Gen Li, Li Chen, Cheng Tang, Yinjie Xie, Chenghao Gu, Atsushi Shimada, Shin'ichi Konomi",,"该研究分析万级学生-AI对话日志，从元认知视角审视编程学习中的AI使用方式。结论强调教育AI应支持学习者计划、监控与反思，而非弱化其认知参与。"
Specific Scenario,Computer Science,arXiv,2025,preprint,1,Navigating the Ethical and Societal Impacts of Generative AI in Higher Computing Education,https://arxiv.org/abs/2511.15768,"Janice Mak, Joyce Nakatumba-Nabende, Tony Clear, Alison Clear, Ibrahim Albluwi, Oana Andrei, Lorenzo Angeli, Stephen MacNeil, Solomon Sunday Oyelere, Matthew Hale Rattigan, Judy Sheard, Tingting Zhu",,"论文通过系统综述与高校政策分析，提出高等计算机教育中GenAI伦理与社会影响框架。该框架可用于指导课程治理、学术诚信与公平性相关决策。"
Specific Scenario,Math,arXiv,2025,preprint,1,SMRC: Aligning Large Language Models with Student Reasoning for Mathematical Error Correction,https://arxiv.org/abs/2511.14684,"Biaojie Zeng, Min Zhang, Juan Zhou, Fengrui Liu, Ruiyang Huang, Xin Lin",,"SMRC面向“教师式”数学纠错，利用MCTS探索纠错路径并提供过程级监督。其在公开数据集和自建高中数学基准上都取得更好的纠错效果与教学适用性。"
Specific Scenario,Medicine,arXiv,2025,preprint,1,Human or LLM as Standardized Patients? A Comparative Study for Medical Education,https://arxiv.org/abs/2511.14783,"Bingquan Zhang, Xiaoxiao Liu, Yuchi Wang, Lei Zhou, Qianqian Xie, Benyou Wang",,"该研究提出EasyMED虚拟标准化病人框架，并与真人标准化病人进行对照。结果显示其在一致性、可扩展性和成本上具优势，且学习成效接近真人训练。"
Specific Scenario,Computer Science,arXiv,2025,preprint,1,Enhancing Large Language Models for Automated Homework Assessment in Undergraduate Circuit Analysis,https://arxiv.org/abs/2511.18221,"Liangliang Chen, Huiru Xie, Zhihao Qin, Yiming Guo, Jacqueline Rohde, Ying Zhang",,"作者通过多步提示、上下文增强和提示性反馈改进GPT-4o在电路作业评估中的表现。正确率从74.71%提升至97.70%，展示了工程教育中自动评估的可行路径。"
Specific Scenario,Social Good,arXiv,2025,preprint,1,Human Experts' Evaluation of Generative AI for Contextualizing STEAM Education in the Global South,https://arxiv.org/abs/2511.19482,"Matthew Nyaaba, Macharious Nabang, Patrick Kyeremeh, Ibrahim Nantomah, Collins Owusu-Fordjour, Martin Ako, Bismark Nyaaba Akanzire, Kassim Korah Nantomah, Cecilia Issaka, Xiaoming Zhai",,"该文以加纳STEAM课程为例，评估GenAI在本土化教学设计中的作用。结果显示其能增强教学情境相关性，但在文化多样性表达上仍较薄弱，需教师与社区共同校正。"
Specific Scenario,Medicine,arXiv,2025,preprint,1,Build AI Assistants using Large Language Models and Agents to Enhance the Engineering Education of Biomechanics,https://arxiv.org/abs/2511.15752,"Hanzhi Yan, Qin Lu, Xianqiao Wang, Xiaoming Zhai, Tianming Liu, He Li",,"研究面向生物力学课程，结合RAG与多智能体系统分别处理概念问答和计算推导任务。实验表明该组合能显著提升专业领域教学助手的准确性、稳定性和可解释性。"
