group,category,publisher,year,type,is_llm_related,title,link,authors,code,zh_abstract
Learning Experience,Learning Engagement,arXiv,2026,preprint,1,"Everyone's using it but no one is allowed to talk about it: College Students' Experiences Navigating the Higher Education Environment in a Generative AI World",https://arxiv.org/abs/2602.17720,"Yue Fu, Yifan Lin, Yessica Wang, Sarah Tran, Alexis Hiniker",,"访谈显示高校中存在“普遍使用但羞于公开”的AI使用文化，制度与同伴规范对学生行为影响显著。研究呼吁从情境化实践出发重构高校AI治理与学习支持。"
Specific Scenario,Computer Science,arXiv,2026,preprint,1,Relying on LLMs: Student Practices and Instructor Norms are Changing in Computer Science Education,https://arxiv.org/abs/2602.05506,"Xinrui Lin, Heyan Huang, Shumin Shi, John Vines",,"该研究揭示编程教育中学生实际用法与教师规范之间的冲突谱系。作者建议在高风险任务设置默认护栏，并在低冲突任务中加入理解检查促进学习。"
Dataset & Benchmark,Benchmark,arXiv,2026,preprint,1,Visual Reasoning Benchmark: Evaluating Multimodal LLMs on Classroom-Authentic Visual Problems from Primary Education,https://arxiv.org/abs/2602.12196,"Mohamed Huti, Alasdair Mackintosh, Amy Waldock, Dominic Andrews, Maxime Lelievre, Moritz Boos, Tobias Murray, Paul Atherton, Robin A. A. Ince, Oliver G. B. Garrod",,"VRB基于小学真实试题评估多模态模型视觉推理能力，发现模型在旋转、折叠等动态空间任务上存在明显短板。该结果提醒课堂应用需谨慎避免误导性反馈。"
Assessment & Feedback,Cognitive Diagnosis,arXiv,2026,preprint,1,Misconception Diagnosis From Student-Tutor Dialogue: Generate Retrieve Rerank,https://arxiv.org/abs/2602.02414,"Joshua Mitton, Prarthana Bhattacharyya, Digory Smith, Thomas Christie, Ralph Abboud, Simon Woodhead",,"论文提出“生成-检索-重排”误解诊断流程，从真实辅导对话中定位学生错误概念。实验显示相比基线可获得更高相关性与预测质量。"
Tutoring Strategy,Tutoring System,arXiv,2026,preprint,1,ClassAid: A Real-time Instructor-AI-Student Orchestration System for Classroom Programming Activities,https://arxiv.org/abs/2602.06734,"Gefei Zhang, Guodao Sun, Meng Xia, Ronghua Liang",,"ClassAid通过教师实时切换AI助教模式，在课堂编程活动中实现动态人机协同。实地部署表明教师主导的编排机制有助于平衡个性化支持与教学控制。"
Tutoring Strategy,Tutoring System,arXiv,2026,preprint,1,Letting Tutor Personas Speak Up for LLMs: Learning Steering Vectors from Dialogue via Preference Optimization,https://arxiv.org/abs/2602.07639,"Jaewook Lee, Alexander Scarlatos, Simon Woodhead, Andrew Lan",,"研究利用偏好优化学习导师人格的激活方向，实现无需显式提示的人格化教学风格控制。结果在语义对齐和偏好评估上均有提升，并保持较好可解释性。"
Dataset & Benchmark,Benchmark,arXiv,2026,preprint,1,CASTLE: A Comprehensive Benchmark for Evaluating Student-Tailored Personalized Safety in Large Language Models,https://arxiv.org/abs/2602.05633,"Rui Jia, Ruiyi Lan, Fengrui Liu, Zhongxiang Dai, Bo Jiang, Jing Shao, Jingyuan Chen, Guandong Xu, Fei Wu, Min Zhang",,"CASTLE从学生属性差异出发评估教育场景个性化安全，覆盖风险识别、情绪共情与学生对齐。实验显示现有模型整体分数偏低，暴露教育安全短板。"
Assessment & Feedback,Knowledge Tracing,arXiv,2026,preprint,1,Towards LLM-Empowered Knowledge Tracing via LLM-Student Hierarchical Behavior Alignment in Hyperbolic Space,https://arxiv.org/abs/2602.22879,"Xingcheng Fu, Shengpeng Wang, Yisen Gao, Xianxian Li, Chunpei Li, Qingyun Sun, Dongran Yu",,"L-HAKT通过教师代理和学生代理构建分层行为对齐，并在双曲空间刻画知识层级结构。四个真实教育数据集实验验证了其在追踪精度上的有效性。"
Learning Experience,Learning Engagement,arXiv,2026,preprint,1,Same Feedback Different Source: How AI vs Human Feedback Shapes Learner Engagement,https://arxiv.org/abs/2602.11311,"Caitlin Morris, Pattie Maes",,"在控制反馈内容一致的条件下，研究发现仅“反馈来源标签”就会显著影响学习者投入度和评价机制。该发现对混合人机教学系统的界面与信任设计有直接意义。"
Dataset & Benchmark,Dataset,arXiv,2026,preprint,1,EduEVAL-DB: A Role-Based Dataset for Pedagogical Risk Evaluation in Educational Explanations,https://arxiv.org/abs/2602.15531,"Javier Irigoyen, Roberto Daza, Aythami Morales, Julian Fierrez, Francisco Jurado, Alvaro Ortigosa, Ruben Tolosana",,"EduEVAL-DB提供教师角色驱动的教学风险数据集，覆盖事实性、适龄性、偏见等多维风险标签。该资源有助于训练更可靠的教育解释评测器与辅导模型。"
